EncodeTime,DecodeTime
50180,2760
98408,5042
145426,7258
193396,9386
240672,11716
287914,14424
335840,20834
383268,23026
432084,25460
479522,27680
527312,29820
573876,31888
621856,34394
669452,36988
718286,39416
764888,41470
813028,43610
859768,45770
908762,48560
956130,51216
1004924,53820
1051992,56278
1101270,58494
1148226,60632
1196486,62720
1243540,64986
1292376,67252
1339846,69420
1388080,71592
1435770,73672
1483176,75916
1530234,78052
1576394,80122
1622632,82140
1668774,84196
1715696,86188
1761752,88312
1807588,90726
1853948,92728
1900308,94702
1946582,96744
1992608,98964
2038792,101058
2084962,103012
2131712,105172
2177910,107120
2224414,108990
2270358,110868
2316532,112782
2362374,114646
