Encode Time, Decode Time
49414,3290
49662,3900
48972,2772
49122,2500
47194,2174
47802,2326
46956,5812
48128,2150
47708,2868
48430,2308
47192,2728
49538,2972
47880,2490
48534,2726
49344,3468
48266,2492
46618,2352
48176,2280
46524,2102
48388,2382
48226,2856
49460,4100
47792,2502
48974,2308
46854,2802
48316,2352
48274,2602
49786,3312
47810,3492
46730,2140
46742,2256
46016,2034
46524,2132
46278,2024
46134,2078
46384,2002
45824,2232
45914,2388
45874,1976
46608,2366
46700,3000
48244,4742
46392,1944
45970,1986
46006,2168
46576,1992
45986,1900
46428,2062
45956,1988
45982,2112
