Encode Time size = 1024, Decode Time
11604,1388
22834,2780
32858,3980
43094,5176
53194,7064
63936,8994
74200,13252
84582,14494
94604,15790
104550,16924
114640,18134
124824,19456
134886,20650
145722,21964
155920,23282
166212,24664
177644,26376
188000,27556
197784,28744
207632,29926
217722,31298
227520,32610
237430,33696
247112,34816
257812,35908
267500,36992
277330,38062
287076,39116
297492,40178
307224,41284
316998,42510
328826,44464
338712,45634
348450,46902
358178,47988
368338,49078
378214,50284
388896,51740
399076,52870
408966,54096
418632,55158
428458,56282
439050,57392
448736,58444
458562,59580
468358,60888
478018,61866
487934,62862
497760,63914
508334,65032
