Encode Time Size = 1024, Decode Time
13998,1546
11950,1540
10952,1326
10882,1266
10728,1210
10012,1410
10394,4918
9958,1190
9978,1262
9826,1124
9928,1124
9700,1226
9654,1310
9864,1344
10066,1216
9736,1112
9740,1098
9832,1124
10022,1332
9846,1166
9968,1490
10438,1452
10064,1150
9662,1186
9662,1286
9998,1198
9660,1102
9952,1054
9714,1052
9594,1098
9594,1196
9780,1156
9714,1100
9668,1130
9668,1134
9666,1372
9552,1222
11486,1544
10748,1180
9682,1272
9590,1032
9594,1102
10424,1080
9546,1074
9876,1190
9920,1046
9506,956
9492,956
9508,1004
9536,1080
