Encoding time size = 4096, Decode Time
293350,6928
586980,13488
878324,19788
1172130,26302
1462050,32332
1754702,38522
2045892,48364
2336186,55092
2626562,61414
2917914,67848
3209308,74118
3499838,80050
3792966,86350
4086846,92774
4379412,99148
4669658,104966
4960038,111178
5251626,117052
5543780,122780
5835558,128892
6127496,135044
6416958,141096
6707306,147490
7003224,153784
7292456,159482
7581738,164982
7871916,170864
8161164,177002
8451436,183032
8746118,189226
9035632,195284
9325952,201650
9615280,207790
9905118,214152
10196542,220382
10486542,226268
10777072,232502
11066390,239072
11358660,245184
11648944,251262
11941664,257330
12235130,263364
12544872,269378
12834070,275132
13123900,280848
13415070,286198
13707234,291658
13995858,297132
14286458,302828
14579242,308886



