Encoding Time Size = 8192, Decode Time
2030808,17894
4055984,35972
6082356,54202
8110536,72286
10142930,92540
12193950,111712
14243602,133248
16278134,150822
18296374,169800
20310020,187858
22303522,206064
24325756,223626
26318110,242402
28308326,260056
30291940,277740
32303570,295454
34342680,313740
36379982,331506
38420782,349332
40433872,367150
42448010,385458
44472888,403758
46497106,422422
48484374,439820
50485874,457150
52476570,474562
54484268,494902
56503408,512414
58512550,529520
60522206,547140
62524832,564496
64507736,581556
66489190,599546
68489080,617942
70485410,634960
72499640,652036
74511746,670060
76529660,688098
78553444,705476
80578354,722944
82591330,740532
84608452,757506
86649054,774068
88644486,791488
90636220,809484
92674058,826550
94693744,843004
96696504,859964
98704000,876994
100715194,894744


